NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
ANKAIZINA FIELD,MADAGASCAR,-14.3,48.67,2878,CINDER CONES,HOLOCENE,U
ANKARATRA FIELD,MADAGASCAR,-19.4,47.2,2644,CINDER CONES,HOLOCENE,U
ANTILLANCA GROUP,CHILE-C,-40.771,-72.153,1990,STRATOVOLCANOES,HOLOCENE,U
ANTIPODES ISLAND,PACIFIC-S,-49.68,178.77,402,PYROCLASTIC CONES,HOLOCENE?,?
ANTISANA,ECUADOR,-0.481,-78.141,5753,STRATOVOLCANO,HISTORICAL,D3
ANTOFAGASTA DE LA SIERRA,ARGENTINA,-26.08,-67.5,4000,SCORIA CONES,HOLOCENE,U
ANTOFALLA,ARGENTINA,-25.53,-68.0,6100,STRATOVOLCANO,HOLOCENE,U
ANTUCO,CHILE-C,-37.406,-71.349,2979,STRATOVOLCANO,HISTORICAL,D3
AOBA,VANUATU-SW PACIFIC,-15.4,167.83,1496,SHIELD VOLCANO,HISTORICAL,D1
AOGA-SHIMA,IZU IS-JAPAN,32.45,139.77,423,STRATOVOLCANO,HISTORICAL,D4
APANECA RANGE,EL SALVADOR,13.891,-89.786,2036,STRATOVOLCANOES,HOLOCENE,U
APASTEPEQUE FIELD,EL SALVADOR,13.72,-88.77,700,VOLCANIC FIELD,HOLOCENE,U
APO,MINDANAO-PHILIPPINES,6.987,125.273,2954,STRATOVOLCANO,FUMAROLIC,U
APOYEQUE,NICARAGUA,12.242,-86.342,518,PYROCLASTIC SHIELD,RADIOCARBON,D7
ARACAR,ARGENTINA,-24.27,-67.77,6082,STRATOVOLCANO,HISTORICAL,D1
ARAGATS,ARMENIA,40.55,44.12,4090,STRATOVOLCANO,HOLOCENE,U
ARAMUACA,EL SALVADOR,13.428,-88.105,180,MAAR,HOLOCENE,U
ARARAT,TURKEY,39.7,44.28,5165,STRATOVOLCANO,HOLOCENE,U
ARAYAT,LUZON-PHILIPPINES,15.2,120.742,1026,STRATOVOLCANO,HOLOCENE,U
ARDOUKOBA,DJIBOUTI,11.58,42.47,298,FISSURE VENTS,HISTORICAL,D1
