NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
COAXIAL SEGMENT,PACIFIC-NE,46.52,-129.58,-2400,SUBMARINE VOLCANO,HISTORICAL,D1
COATEPEQUE CALDERA,EL SALVADOR,13.87,-89.55,746,CALDERA,HOLOCENE,U
COCHONS,INDIAN O-S,-46.1,50.23,775,STRATOVOLCANO,HOLOCENE,U
COFRE DE PEROTE,MEXICO,19.492,-97.15,4282,SHIELD VOLCANO,RADIOCARBON,D6
COLACHI,CHILE-N,-23.23,-67.65,5631,STRATOVOLCANO,HOLOCENE,U
COLEMAN SEAMOUNT,SOLOMON IS-SW PACIFI,-8.83,157.17,0,SUBMARINE VOLCANO,HOLOCENE,U
COLIMA,MEXICO,19.514,-103.62,3850,STRATOVOLCANOES,HISTORICAL,D1
COLLUMA,BOLIVIA,-18.5,-68.07,3876,MAAR,HOLOCENE?,?
COLO [UNA UNA],SULAWESI-INDONESIA,-0.17,121.608,507,STRATOVOLCANO,HISTORICAL,D1
COMONDU-LA PURISIMA,MEXICO,26.0,-111.92,780,VOLCANIC FIELD,HOLOCENE?,?
CONCEPCION,NICARAGUA,11.538,-85.622,1700,STRATOVOLCANO,HISTORICAL,D1
CONCHAGUA,EL SALVADOR,13.277,-87.853,1250,STRATOVOLCANO,UNCERTAIN,?
CONCHAGUITA,EL SALVADOR,13.22,-87.765,550,STRATOVOLCANO,HISTORICAL,D3
CONDOR,ARGENTINA,-26.62,-68.35,6532,STRATOVOLCANO,HOLOCENE,U
COOK,CHILE-S,-54.95,-70.27,150,LAVA DOMES,HOLOCENE,U
COPAHUE,CHILE-C,-37.85,-71.17,2965,STRATOVOLCANO,HISTORICAL,D1
COPIAPO,CHILE-N,-27.3,-69.13,6052,STRATOVOLCANO,UNCERTAIN,?
CORBETTI CALDERA,ETHIOPIA,7.18,38.43,2320,CALDERA,HOLOCENE,U
CORCOVADO,CHILE-S,-43.18,-72.8,2300,STRATOVOLCANO,HISTORICAL,D3
CORDON CAULLE,CHILE-C,-40.52,-72.2,1798,FISSURE VENTS,HISTORICAL,D2
CORDON CHALVIRI,CHILE-N,-23.85,-67.62,5623,STRATOVOLCANOES,HOLOCENE,U
CORDON DE PUNTAS NEGRAS,CHILE-N,-23.75,-67.53,5852,STRATOVOLCANOES,HOLOCENE,U
CORDON DEL AZUFRE,CHILE-N,-25.33,-68.52,5463,COMPLEX VOLCANO,HOLOCENE,U
CORONADO,MEXICO,29.08,-113.513,440,STRATOVOLCANO,FUMAROLIC,U
COROPUNA,PERU,-15.52,-72.65,6377,STRATOVOLCANO,HOLOCENE,U
CORVO,AZORES,39.67,-31.07,715,STRATOVOLCANO,HOLOCENE,U
COSIGUINA,NICARAGUA,12.98,-87.57,872,STRATOVOLCANO,HISTORICAL,D3
COSO VOLC FIELD,US-CALIFORNIA,36.03,-117.82,2400,LAVA DOMES,HOLOCENE?,?
COTOPAXI,ECUADOR,-0.677,-78.436,5911,STRATOVOLCANO,HISTORICAL,D2
CRATER LAKE,US-OREGON,42.93,-122.12,2487,CALDERA,RADIOCARBON,D7
CRATER MOUNTAIN,NEW GUINEA,-6.58,145.08,3233,STRATOVOLCANO,HOLOCENE?,?
CRATERS OF THE MOON,US-IDAHO,43.42,-113.5,2005,CINDER CONES,RADIOCARBON,D7
CROW LAGOON,CANADA,54.7,-130.23,335,PYROCLASTIC CONE,HOLOCENE,U
CU-LAO RE GROUP,SE ASIA,15.38,109.12,181,VOLCANIC FIELD,HOLOCENE,U
CUICOCHA,ECUADOR,0.308,-78.364,3246,CALDERA,RADIOCARBON,D7
CUILAPA-BARBARENA,GUATEMALA,14.33,-90.4,1454,VOLCANIC FIELD,HOLOCENE,U
CUMBAL,COLOMBIA,0.98,-77.88,4764,STRATOVOLCANO,HISTORICAL,D2
CUMBRES,MEXICO,19.15,-97.27,3940,STRATOVOLCANO,RADIOCARBON,D7
CURACOA,TONGA-SW PACIFIC,-15.62,-173.67,-33,SUBMARINE VOLCANO,HISTORICAL,D1
CURTIS ISLAND,KERMADEC IS,-30.542,-178.561,137,SUBMARINE VOLCANO,UNCERTAIN,?
DABBAHU,ETHIOPIA,12.6,40.48,1442,STRATOVOLCANO,HOLOCENE,U
DABBAYRA,ETHIOPIA,12.38,40.07,1302,SHIELD VOLCANO,HOLOCENE,U
DACHT-I-NAVAR GROUP,AFGHANISTAN,33.95,67.92,3800,LAVA DOMES,HOLOCENE,U
DAISETSU,HOKKAIDO-JAPAN,43.68,142.88,2290,STRATOVOLCANOES,TEPHROCHRONOLOGY,D6
DAKATAUA,NEW BRITAIN-SW PAC,-5.056,150.108,400,CALDERA,ANTHROPOLOGY,D3
DALAFFILLA,ETHIOPIA,13.792,40.55,613,STRATOVOLCANO,HOLOCENE,U
DALLOL,ETHIOPIA,14.242,40.3,-48,EXPLOSION CRATERS,HISTORICAL,D2
DAMA ALI,ETHIOPIA,11.28,41.63,1068,SHIELD VOLCANO,HISTORICAL,D5
DAMAVAND,IRAN,35.951,52.109,5670,STRATOVOLCANO,HOLOCENE,U
DANA,ALASKA PENINSULA,55.62,-161.22,1354,STRATOVOLCANO,RADIOCARBON,D7
DANAU COMPLEX,JAVA,-6.2,105.97,1778,CALDERA,HOLOCENE,U
DAR-ALAGES,ARMENIA,39.7,45.542,3329,UNKNOWN,HOLOCENE,U
DARIGANGA VOLC FIELD,MONGOLIA,45.33,114.0,1778,CINDER CONES,HOLOCENE,U
DARWIN,GALAPAGOS,-0.18,-91.28,1330,SHIELD VOLCANO,HOLOCENE,D3
DAUN,SUMATRA,-3.38,102.37,2467,STRATOVOLCANOES,FUMAROLIC,U
DAVIDOF,ALEUTIAN IS,51.97,178.33,328,STRATOVOLCANO,HOLOCENE?,?
DAVIS LAKE,US-OREGON,43.57,-121.82,2163,VOLCANIC FIELD,RADIOCARBON,D7
DAWSON STRAIT GROUP,D'ENTRECASTEAUX IS,-9.62,150.88,500,VOLCANIC FIELD,HYDRATION RIND,D6
DECEPTION ISLAND,ANTARCTICA,-62.97,-60.65,576,CALDERA,HISTORICAL,D1
DEMON,KURIL IS,45.5,148.85,1205,STRATOVOLCANO,HOLOCENE,U
DEMPO,SUMATRA,-4.03,103.13,3173,STRATOVOLCANO,HISTORICAL,D1
DENISON,ALASKA PENINSULA,58.42,-154.45,2318,STRATOVOLCANO,UNCERTAIN,?
DESCABEZADO GRANDE,CHILE-C,-35.58,-70.75,3953,STRATOVOLCANO,HISTORICAL,D2
DEVILS DESK,ALASKA PENINSULA,58.48,-154.3,1954,STRATOVOLCANO,UNCERTAIN,?
DEVILS GARDEN,US-OREGON,43.512,-120.861,1698,VOLCANIC FIELD,HOLOCENE?,?
DGIDA BASIN,RUSSIA-SE,50.52,103.25,1500,CINDER CONES,HOLOCENE,U
DHAMAR,ARABIA-S,14.57,44.67,3500,VOLCANIC FIELD,HISTORICAL,D2
DIABLE,W INDIES,15.62,-61.45,861,STRATOVOLCANO,FUMAROLIC,U
DIABLOTINS,W INDIES,15.5,-61.42,1430,STRATOVOLCANO,HOLOCENE,U
DIAMOND CRATERS,US-OREGON,43.1,-118.75,1435,VOLCANIC FIELD,HOLOCENE?,?
DIDICAS,LUZON-N OF,19.077,122.202,244,COMPOUND VOLCANO,HISTORICAL,D1
DIENG VOLC COMPLEX,JAVA,-7.2,109.92,2565,COMPLEX VOLCANO,HISTORICAL,D1
DIKY GREBEN,KAMCHATKA,51.43,157.0,1070,LAVA DOMES,RADIOCARBON,D6
DOFEN,ETHIOPIA,9.35,40.13,1151,STRATOVOLCANO,HOLOCENE,U
DOMA PEAKS,NEW GUINEA,-5.9,143.15,3568,STRATOVOLCANO,HOLOCENE?,?
DOMUYO,ARGENTINA,-36.63,-70.42,4709,STRATOVOLCANO,HOLOCENE?,?
DON JOAO DE CASTRO BANK,AZORES,38.23,-26.63,-14,SUBMARINE VOLCANO,HISTORICAL,D4
DONA JUANA,COLOMBIA,1.47,-76.92,4150,STRATOVOLCANO,HISTORICAL,D2
DOTSERO,US-COLORADO,39.65,-107.03,2230,MAAR,RADIOCARBON,D7
DOUGLAS,ALASKA PENINSULA,58.87,-153.55,2140,STRATOVOLCANO,FUMAROLIC,U
DUBBI,ETHIOPIA,13.58,41.808,1625,STRATOVOLCANO,HISTORICAL,D3
DUKONO,HALMAHERA-INDONESIA,1.68,127.88,1185,COMPLEX VOLCANO,HISTORICAL,D1
DUNCAN CANAL,ALASKA-SE,56.5,-133.1,15,UNKNOWN,HOLOCENE,U
DURANGO VOLC FIELD,MEXICO,24.15,-104.45,2075,CINDER CONES,HOLOCENE,U
DUTTON,ALASKA PENINSULA,55.18,-162.27,1506,STRATOVOLCANO,HOLOCENE,U
DZENZURSKY,KAMCHATKA,53.637,158.922,2155,COMPOUND VOLCANO,HOLOCENE,U
E-SAN,HOKKAIDO-JAPAN,41.8,141.17,618,STRATOVOLCANO,HISTORICAL,D3
EAGLE LAKE FIELD,US-CALIFORNIA,40.63,-120.83,1652,FISSURE VENTS,HOLOCENE?,?
EASTER ISLAND,PACIFIC-C,-27.12,-109.45,530,SHIELD VOLCANOES,HOLOCENE,U
EASTERN GEMINI SEAMOUNT,SW PACIFIC,-20.98,170.28,-80,SUBMARINE VOLCANO,HISTORICAL,D1
EBEKO,KURIL IS,50.68,156.02,1156,SOMMA VOLCANO,HISTORICAL,D1
EBULOBO,LESSER SUNDA IS,-8.808,121.18,2124,STRATOVOLCANO,HISTORICAL,D1
EBURRU,AFRICA-E,-0.63,36.23,2856,COMPLEX VOLCANO,HOLOCENE,U
ECUADOR,GALAPAGOS,-0.02,-91.546,790,SHIELD VOLCANO,HOLOCENE,U
EDGECUMBE,ALASKA-SE,57.05,-135.75,976,STRATOVOLCANOES,RADIOCARBON,D7
EDZIZA,CANADA,57.72,-130.63,2786,STRATOVOLCANO,RADIOCARBON,D6
EGGELLA,KAMCHATKA,56.57,158.52,1046,SHIELD VOLCANO,HOLOCENE,U
EGMONT,NEW ZEALAND,-39.3,174.07,2518,STRATOVOLCANO,RADIOCARBON,D4
EGON,LESSER SUNDA IS,-8.67,122.45,1703,STRATOVOLCANO,HISTORICAL,D2
EKARMA,KURIL IS,48.958,153.93,1170,STRATOVOLCANO,HISTORICAL,D1
ELBRUS,RUSSIA-SW,43.33,42.45,5633,STRATOVOLCANO,TEPHROCHRONOLOGY,D6
ELMENTEITA BADLANDS,AFRICA-E,-0.52,36.27,2126,PYROCLASTIC CONES,HOLOCENE,U
ELOVSKY,KAMCHATKA,57.53,160.53,1381,SHIELD VOLCANOES,HOLOCENE,U
EMMONS LAKE,ALASKA PENINSULA,55.33,-162.07,1465,CALDERA,HOLOCENE,U
EMPEROR OF CHINA,BANDA SEA,-6.62,124.22,-2850,SUBMARINE VOLCANO ?,UNCERTAIN,?
EMURUANGOGOLAK,AFRICA-E,1.5,36.33,1328,SHIELD VOLCANO,RADIOCARBON,D2
EPI,VANUATU-SW PACIFIC,-16.68,168.37,833,STRATOVOLCANOES,HISTORICAL,D1
ERCIYES DAGI,TURKEY,38.52,35.48,3916,STRATOVOLCANO,HOLOCENE,U
EREBUS,ANTARCTICA,-77.53,167.17,3794,STRATOVOLCANO,HISTORICAL,D1
ERTA ALE,ETHIOPIA,13.6,40.67,613,SHIELD VOLCANO,HISTORICAL,D1
ES SAFA,SYRIA,33.08,37.15,979,VOLCANIC FIELD,HISTORICAL,D3
ESCALA,BOLIVIA,-21.6,-66.88,4000,LAVA DOME,HOLOCENE,U
ESCORIAL,CHILE-N,-25.08,-68.37,5447,STRATOVOLCANO,HOLOCENE,U
ESJUFJOLL,ICELAND-SE,64.27,-16.65,1760,STRATOVOLCANO,HISTORICAL,D2
ESMERALDA BANK,MARIANA IS-C PACIFIC,15.0,145.25,-43,SUBMARINE VOLCANO,FUMAROLIC,U
ESPENBERG,ALASKA-W,66.35,-164.33,243,VOLCANIC FIELD,TEPHROCHRONOLOGY,D7
EST,INDIAN O-S,-46.43,52.2,1090,STRATOVOLCANO,HOLOCENE?,?
ESTELI,NICARAGUA,13.17,-86.4,899,FISSURE VENTS,HOLOCENE?,?
ETNA,ITALY,37.734,15.004,3350,STRATOVOLCANO,HISTORICAL,D1
EYJAFJOLL,ICELAND-S,63.63,-19.62,1666,STRATOVOLCANO,HISTORICAL,D3
FALCON ISLAND,TONGA-SW PACIFIC,-20.32,-175.42,-17,SUBMARINE VOLCANO,HISTORICAL,D2
FALSO AZUFRE,CHILE-N,-26.8,-68.37,5890,COMPLEX VOLCANO,HOLOCENE,U
FARALLON DE PAJAROS,MARIANA IS-C PACIFIC,20.53,144.9,360,STRATOVOLCANO,HISTORICAL,D1
FAYAL,AZORES,38.6,-28.73,1043,STRATOVOLCANO,HISTORICAL,D2
FEDOTYCH,KAMCHATKA,57.13,160.4,965,SHIELD VOLCANO,HOLOCENE,U
FENTALE,ETHIOPIA,8.975,39.93,2007,STRATOVOLCANO,HISTORICAL,D3
FERNANDINA,GALAPAGOS,-0.37,-91.55,1495,SHIELD VOLCANO,HISTORICAL,D1
FIRURA,PERU,-15.23,-72.63,5498,STRATOVOLCANOES,HOLOCENE,U
FISHER,ALEUTIAN IS,54.67,-164.35,1094,STRATOVOLCANO,HISTORICAL,D3
FLOREANA,GALAPAGOS,-1.3,-90.45,640,SHIELD VOLCANO,HOLOCENE,U
FLORES,AZORES,39.4,-31.17,915,STRATOVOLCANO,RADIOCARBON,D7
FLORES,GUATEMALA,14.3,-90.0,1600,VOLCANIC FIELD,HOLOCENE,U
FOGO,CAPE VERDE IS,14.95,-24.35,2829,STRATOVOLCANO,HISTORICAL,D1
FONUALEI,TONGA-SW PACIFIC,-18.02,-174.325,200,STRATOVOLCANO,HISTORICAL,D2
FORT PORTAL FIELD,AFRICA-C,0.7,30.25,1524,TUFF CONES,HOLOCENE,U
FORT SELKIRK,CANADA,62.93,-137.38,1239,VOLCANIC FIELD,HOLOCENE,U
FOUR CRATERS LAVA FIELD,US-OREGON,43.361,-120.669,1501,VOLCANIC FIELD,HOLOCENE?,?
FOURNAISE,INDIAN O-W,-21.229,55.713,2631,SHIELD VOLCANO,HISTORICAL,D1
FOURPEAKED,ALASKA PENINSULA,58.77,-153.68,2104,STRATOVOLCANO,UNCERTAIN,?
FREMRINAMUR,ICELAND-NE,65.43,-16.65,939,STRATOVOLCANO,TEPHROCHRONOLOGY,D7
FROSTY,ALASKA PENINSULA,55.07,-162.82,1920,STRATOVOLCANOES,HOLOCENE,U
FUEGO,GUATEMALA,14.473,-90.88,3763,STRATOVOLCANO,HISTORICAL,D1
FUERTEVENTURA,CANARY IS,28.358,-14.02,529,FISSURE VENTS,HOLOCENE,U
FUJI,HONSHU-JAPAN,35.35,138.73,3776,STRATOVOLCANO,HISTORICAL,D4
FUKUJIN,VOLCANO IS-JAPAN,21.925,143.442,-217,SUBMARINE VOLCANO,HISTORICAL,D1
FUKUTOKU-OKANOBA,VOLCANO IS-JAPAN,24.28,141.52,-14,SUBMARINE VOLCANO,HISTORICAL,D1
FURNAS,AZORES,37.77,-25.32,805,STRATOVOLCANO,HISTORICAL,D5
FUSS PEAK,KURIL IS,50.27,155.25,1772,STRATOVOLCANO,HISTORICAL,D3
GABILLEMA,ETHIOPIA,11.08,41.27,1459,STRATOVOLCANO,HOLOCENE,U
GADA ALE,ETHIOPIA,13.975,40.408,287,STRATOVOLCANO,HOLOCENE,U
GALAPAGOS RIFT,PACIFIC-E,0.792,-86.15,-2430,SUBMARINE VOLCANO,HISTORICAL,D1
GALERAS,COLOMBIA,1.22,-77.37,4276,COMPLEX VOLCANO,HISTORICAL,D1
GALLEGO,SOLOMON IS-SW PACIFI,-9.35,159.73,1000,VOLCANIC FIELD,HOLOCENE?,?
GALUNGGUNG,JAVA,-7.25,108.05,2168,STRATOVOLCANO,HISTORICAL,D1
GAMALAMA,HALMAHERA-INDONESIA,0.8,127.325,1715,STRATOVOLCANOES,HISTORICAL,D1
GAMCHEN,KAMCHATKA,54.973,160.702,2576,COMPLEX VOLCANO,HOLOCENE,U
GAMKONORA,HALMAHERA-INDONESIA,1.375,127.52,1635,STRATOVOLCANO,HISTORICAL,D1
GARBES,DJIBOUTI,11.42,42.2,1000,FUMAROLE FIELD,PLEISTOCENE-FUMAROLIC,Q
GARBUNA GROUP,NEW BRITAIN-SW PAC,-5.45,150.03,564,STRATOVOLCANOES,HOLOCENE,U
GARELOI,ALEUTIAN IS,51.78,-178.8,1573,STRATOVOLCANO,HISTORICAL,D1
GARIBALDI LAKE,CANADA,49.92,-123.03,2316,VOLCANIC FIELD,HOLOCENE,U
GARIBALDI,CANADA,49.85,-123.0,2678,STRATOVOLCANO,RADIOCARBON,D7
GAROVE,NEW BRITAIN-SW PAC,-4.692,149.5,368,STRATOVOLCANO,HOLOCENE,U
GARUA HARBOUR,NEW BRITAIN-SW PAC,-5.269,150.088,565,VOLCANIC FIELD,HOLOCENE?,?
GAUA,VANUATU-SW PACIFIC,-14.27,167.5,797,STRATOVOLCANO,HISTORICAL,D1
GEDAMSA CALDERA,ETHIOPIA,8.35,39.18,1984,CALDERA,HOLOCENE,U
GEDE,JAVA,-6.78,106.98,2958,STRATOVOLCANO,HISTORICAL,D2
GENOVESA,GALAPAGOS,0.32,-89.958,64,SHIELD VOLCANO,HOLOCENE,U
GEODESISTOY,KAMCHATKA,56.33,158.67,1170,SHIELD VOLCANO,HOLOCENE,U
GEUREUDONG,SUMATRA,4.813,96.82,2885,STRATOVOLCANOES,HISTORICAL,D2
GIREKOL,TURKEY,39.17,43.33,0,UNKNOWN,HOLOCENE,U
GLACIER PEAK,US-WASHINGTON,48.112,-121.113,3213,STRATOVOLCANO,TEPHROCHRONOLOGY,D4
GLORIA,MEXICO,19.33,-97.25,3500,VOLCANIC FIELD,HOLOCENE,U
GOLAYA,KAMCHATKA,52.263,157.787,858,STRATOVOLCANO,HOLOCENE,U
GOLDEN TROUT CREEK,US-CALIFORNIA,36.358,-118.32,2886,VOLCANIC FIELD,TEPHROCHRONOLOGY,D7
GOLETS-TORNYI GROUP,KURIL IS,45.25,148.35,442,PYROCLASTIC CONES,HOLOCENE?,?
GOLLU DAG,TURKEY,38.25,34.57,2143,LAVA DOME,HOLOCENE,U
GOLOVNIN,KURIL IS,43.85,145.53,541,CALDERA,HISTORICAL,D3
GOODENOUGH,D'ENTRECASTEAUX IS,-9.48,150.35,220,VOLCANIC FIELD,HOLOCENE,U
GORDON,ALASKA-E,62.13,-143.08,2755,CINDER CONES,HOLOCENE,U
GORELY,KAMCHATKA,52.558,158.03,1829,CALDERA,HISTORICAL,D1
GORIASCHAIA SOPKA,KURIL IS,46.83,151.75,891,STRATOVOLCANO,HISTORICAL,D2
GORNY INSTITUTE,KAMCHATKA,57.33,160.2,2125,STRATOVOLCANO,HOLOCENE,U
GRACIOSA,AZORES,39.02,-27.97,402,STRATOVOLCANO,HOLOCENE,U
GRAN CANARIA,CANARY IS,28.0,-15.58,1950,FISSURE VENTS,RADIOCARBON,D7
GREAT SITKIN,ALEUTIAN IS,52.08,-176.13,1740,STRATOVOLCANO,HISTORICAL,D1
GRIGGS,ALASKA PENINSULA,58.35,-155.1,2317,STRATOVOLCANO,HOLOCENE,U
GRILLE,INDIAN O-W,-11.47,43.33,1087,SHIELD VOLCANO,HOLOCENE,U
GRIMSNES,ICELAND-SW,64.03,-20.87,214,CRATER ROWS,TEPHROCHRONOLOGY,D7
GRIMSVOTN,ICELAND-NE,64.42,-17.33,1725,CALDERA,HISTORICAL,D1
GROPPO,ETHIOPIA,11.73,40.25,930,STRATOVOLCANO,HOLOCENE,U
GROZNY GROUP,KURIL IS,45.02,147.87,1211,COMPLEX VOLCANOES,HISTORICAL,D1
GUADALUPE,MEXICO,29.07,-118.28,1100,SHIELD VOLCANO,HOLOCENE,U
GUAGUA PICHINCHA,ECUADOR,-0.171,-78.598,4784,STRATOVOLCANO,HISTORICAL,D1
GUALLATIRI,CHILE-N,-18.42,-69.17,6071,STRATOVOLCANO,HISTORICAL,D2
GUAYAQUES,CHILE-N,-22.88,-67.58,5598,LAVA DOMES,HOLOCENE,U
GUAZAPA,EL SALVADOR,13.9,-89.12,1438,STRATOVOLCANO,HOLOCENE,U
GUFA,ETHIOPIA,12.55,42.53,600,VOLCANIC FIELD,HOLOCENE,U
GUGUAN,MARIANA IS-C PACIFIC,17.32,145.85,287,STRATOVOLCANO,HISTORICAL,D3
GUNTUR,JAVA,-7.13,107.83,2249,COMPLEX VOLCANO,HISTORICAL,D3
GUNUNGAPI WETAR,BANDA SEA,-6.642,126.65,282,STRATOVOLCANO,HISTORICAL,D5
HACHIJO-JIMA,IZU IS-JAPAN,33.13,139.77,854,STRATOVOLCANOES,HISTORICAL,D5
HACHIMANTAI,HONSHU-JAPAN,39.95,140.85,1614,STRATOVOLCANO,HOLOCENE?,?
HAKKODA GROUP,HONSHU-JAPAN,40.65,140.88,1585,STRATOVOLCANOES,HOLOCENE,U
HAKONE,HONSHU-JAPAN,35.22,139.02,1438,COMPLEX VOLCANO,RADIOCARBON,D7
HAKU-SAN,HONSHU-JAPAN,36.15,136.78,2702,STRATOVOLCANO,HISTORICAL,D5
HALEAKALA,HAWAIIAN IS,20.708,-156.25,3055,SHIELD VOLCANO,HISTORICAL,D4
HALLA,KOREA,33.37,126.53,1950,SHIELD VOLCANO,HISTORICAL,D6
HAMMAN DEMT,ARABIA-S,14.05,44.75,1500,CONE,ANTHROPOLOGY,U
HANISH,RED SEA,13.72,42.73,422,SHIELD VOLCANO,HOLOCENE,U
HARGY,NEW BRITAIN-SW PAC,-5.33,151.1,1148,STRATOVOLCANO,RADIOCARBON,D6
HARUJ,AFRICA-N,27.25,17.5,1200,SCORIA CONES,HOLOCENE,U
HARUNA,HONSHU-JAPAN,36.47,138.88,1449,STRATOVOLCANO,ANTHROPOLOGY,D6
HASAN DAGI,TURKEY,38.13,34.17,3253,STRATOVOLCANO,HOLOCENE,U
HAUT DONG NAI,SE ASIA,11.6,108.2,1000,VOLCANIC FIELD,HOLOCENE?,?
HAYES,ALASKA-SW,61.62,-152.48,2788,STRATOVOLCANO,RADIOCARBON,D6
HAYLAN,ARABIA-S,15.43,44.78,1550,VOLCANIC FIELD,ANTHROPOLOGY,D7
HAYLI GUBBI,ETHIOPIA,13.5,40.72,521,SHIELD VOLCANO,HOLOCENE,U
HEARD,INDIAN O-S,-53.106,73.513,2745,STRATOVOLCANO,HISTORICAL,D1
HEART PEAKS,CANADA,58.6,-131.97,2012,SHIELD VOLCANO,HOLOCENE,U
HEKLA,ICELAND-S,63.98,-19.7,1491,STRATOVOLCANO,HISTORICAL,D1
HELATOBA-TARUTUNG,SUMATRA,2.03,98.93,1100,FUMAROLE FIELD,PLEISTOCENE-FUMAROLIC,Q
HELL'S HALF ACRE,US-IDAHO,43.5,-112.45,1631,SHIELD VOLCANO,RADIOCARBON,D7
HENGILL,ICELAND-SW,64.18,-21.33,803,CRATER ROWS,RADIOCARBON,D6
HERBERT,ALEUTIAN IS,52.75,-170.12,1290,STRATOVOLCANO,HOLOCENE,U
HERTALI,ETHIOPIA,9.78,40.33,900,FISSURE VENT,HOLOCENE,U
HIBOK-HIBOK,MINDANAO-PHILIPPINES,9.203,124.673,1332,STRATOVOLCANO,HISTORICAL,D2
HIERRO,CANARY IS,27.73,-18.03,1500,SHIELD VOLCANO,HISTORICAL,D4
HIJIORI,HONSHU-JAPAN,38.6,140.18,516,CALDERA,RADIOCARBON,D7
HIRI,HALMAHERA-INDONESIA,0.88,127.32,630,STRATOVOLCANO,HOLOCENE,U
HIUCHI,HONSHU-JAPAN,36.95,139.28,2346,STRATOVOLCANO,HISTORICAL,D5
HOBICHA CALDERA,ETHIOPIA,6.78,37.83,1800,CALDERA,HOLOCENE?,?
HODSON,ANTARCTICA,-56.7,-27.15,1005,STRATOVOLCANO,HOLOCENE,U
HOFSJOKULL,ICELAND-SW,64.78,-18.92,1782,SUBGLACIAL VOLCANO,HOLOCENE,U
HOMA MOUNTAIN,AFRICA-E,-0.38,34.5,1751,COMPLEX VOLCANO,HOLOCENE,U
HOME REEF,TONGA-SW PACIFIC,-18.992,-174.775,-2,SUBMARINE VOLCANO,HISTORICAL,D1
HONGGEERTU,CHINA-E,41.47,113.0,1700,CINDER CONES,HOLOCENE?,?
HOOD,US-OREGON,45.374,-121.694,3426,STRATOVOLCANO,HISTORICAL,D3
HOODOO MOUNTAIN,CANADA,56.78,-131.28,1820,SUBGLACIAL VOLCANO,HOLOCENE,U
HORNOPIREN,CHILE-S,-41.874,-72.431,1572,STRATOVOLCANO,HOLOCENE?,?
HUALALAI,HAWAIIAN IS,19.692,-155.87,2523,SHIELD VOLCANO,HISTORICAL,D3
HUANQUIHUE GROUP,ARGENTINA,-39.87,-71.55,1300,PYROCLASTIC CONE,HOLOCENE,U
HUAYNAPUTINA,PERU,-16.608,-70.85,4850,STRATOVOLCANO ?,HISTORICAL,D5
HUDSON MOUNTAINS,ANTARCTICA,-74.33,-99.42,749,STRATOVOLCANOES,UNCERTAIN,?
HUDSON,CHILE-S,-45.9,-72.97,1905,STRATOVOLCANO,HISTORICAL,D1
HUELEMOLLE,CHILE-C,-39.3,-71.82,810,CINDER CONES,TEPHROCHRONOLOGY,D7
HUEQUI,CHILE-S,-42.377,-72.578,1318,STRATOVOLCANO,HISTORICAL,D2
HUILA,COLOMBIA,2.92,-76.05,5365,STRATOVOLCANO,HISTORICAL,D5
HULUBELU,SUMATRA,-5.35,104.6,1040,CALDERA,FUMAROLIC,U
HUMEROS,MEXICO,19.68,-97.45,3150,CALDERAS,HOLOCENE?,?
HUNGA TONGA-HUNGA HA'APAI,TONGA-SW PACIFIC,-20.57,-175.38,0,SUBMARINE VOLCANO,HISTORICAL,D1
HUNTER ISLAND,SW PACIFIC,-22.4,172.05,297,STRATOVOLCANO,HISTORICAL,D2
HUTAPANJANG,SUMATRA,-2.33,101.6,2021,STRATOVOLCANO,HOLOCENE,U
HYDROGRAPHERS RANGE,NEW GUINEA,-9.0,148.37,1915,STRATOVOLCANO,HOLOCENE,U
IAMALELE,D'ENTRECASTEAUX IS,-9.52,150.53,200,LAVA DOMES,HOLOCENE,U
IBU,HALMAHERA-INDONESIA,1.475,127.642,1325,STRATOVOLCANO,HISTORICAL,D1
IBUSUKI VOLC FIELD,KYUSHU-JAPAN,31.22,130.57,922,CALDERAS,HISTORICAL,D6
ICHINSKY,KAMCHATKA,55.68,157.73,3621,STRATOVOLCANO,HOLOCENE,U
IETTUNUP,KAMCHATKA,58.4,161.08,1340,SHIELD VOLCANOES,HOLOCENE,U
IGWISI HILLS,AFRICA-E,-4.87,31.92,0,TUFF CONES,HOLOCENE,U
IJEN,JAVA,-8.058,114.242,2799,STRATOVOLCANOES,HISTORICAL,D1
IKTUNUP,KAMCHATKA,58.08,160.77,2300,SHIELD VOLCANOES,HOLOCENE,U
ILIAMNA,ALASKA-SW,60.03,-153.08,3053,STRATOVOLCANO,HISTORICAL,D2
ILIBOLENG,LESSER SUNDA IS,-8.342,123.258,1659,STRATOVOLCANO,HISTORICAL,D1
ILILABALEKAN,LESSER SUNDA IS,-8.53,123.42,1018,STRATOVOLCANO,FUMAROLIC,U
ILIMUDA,LESSER SUNDA IS,-8.478,122.671,1100,STRATOVOLCANO,FUMAROLIC,U
ILIWERUNG,LESSER SUNDA IS,-8.54,123.59,1018,COMPLEX VOLCANO,HISTORICAL,D1
ILLINIZA,ECUADOR,-0.659,-78.714,5248,STRATOVOLCANO,HOLOCENE,U
ILOPANGO,EL SALVADOR,13.672,-89.053,450,CALDERA,HISTORICAL,D3
ILYINSKY,KAMCHATKA,51.49,157.2,1578,STRATOVOLCANO,HISTORICAL,D2
